ws,wt,wc,wcl,wd,dm,Score_FGM_mean,duration_s_mean,success_count_sum,fgm_min_d_mean,fgm_ratio_mean
2.13,1.45,0.91,1.47,1.84,0.44,30.924018065776668,13.108333333333334,6,0.003541096666666667,0.2180097173639384
1.52,2.11,1.46,2.14,2.43,0.5,30.919038074017426,13.235,6,0.0015500033333333333,0.2493697669888509
1.52,1.64,0.95,1.29,1.36,0.38,30.907846479641563,13.015,6,0.0029386800000000004,0.24251588212655883
1.84,1.56,0.79,1.18,1.19,0.34,30.726560987340577,13.075000000000001,6,0.0027722149999999997,0.29548782848964966
1.59,1.62,0.94,1.26,1.31,0.37,30.695170179857765,12.950000000000001,6,0.0018776416666666667,0.30432079348635693
2.49,1.48,0.84,1.27,1.35,0.37,30.49898347531334,13.031666666666666,6,0.0038204266666666668,0.25044711456088425
2.87,1.64,0.73,1.32,1.45,0.42,30.34176501103438,12.765,6,0.0026434166666666667,0.2681084640247511
1.38,1.89,1.22,1.86,2.17,0.45,30.251797261705022,13.565,6,0.0032919850000000003,0.2779106848916592
0.83,2.11,1.43,2.29,2.6,0.53,30.17960176847433,13.075000000000001,6,0.005383655,0.260076380126978
2.77,1.25,1.05,1.57,1.84,0.45,30.072056530850904,12.951666666666666,6,0.00257834,0.21221737503216778
0.69,1.53,1.28,2.57,3.01,0.59,29.954992327372384,13.478333333333333,6,0.0020660583333333335,0.25811589498757276
0.84,2.5,1.7,2.61,2.85,0.58,29.937322016969762,13.541666666666666,6,0.004554203333333334,0.24106987672474836
2.45,1.57,0.93,1.51,1.77,0.47,29.925847819548636,12.968333333333334,6,0.002788568333333333,0.2134698173092214
1.5,2.43,1.84,2.6,2.89,0.58,29.736104834385497,13.446666666666667,6,0.002039805,0.2564698173918966
0.77,1.95,1.32,2.26,2.57,0.52,29.568959840338213,13.301666666666668,6,0.0026884316666666666,0.26301000941122676
2.81,1.47,0.91,1.49,1.76,0.46,29.556081085144275,13.036666666666667,6,0.00256765,0.23027189299887918
2.52,1.58,0.82,1.24,1.37,0.38,29.35246907730269,12.836666666666666,6,0.003306228333333333,0.2689894497611192
1.4,1.88,1.21,1.87,2.19,0.45,28.907087124516575,13.376666666666667,6,0.0023432833333333334,0.27710757294620086
0.64,2.01,1.32,2.48,2.73,0.55,28.761637494670932,13.873333333333333,6,0.00234378,0.34816577835175605
0.97,2.09,1.41,2.26,2.53,0.49,28.632698232988716,13.695,6,0.0026769416666666667,0.2686876258053645
1.35,1.84,1.16,1.83,2.14,0.45,28.191013416326538,13.491666666666667,6,0.002624065,0.2825017528217833
0.7,1.71,1.08,2.19,2.54,0.5,28.10071535345412,13.246666666666668,6,0.0027531566666666664,0.20853104911420703
0.93,2.51,1.6,2.42,2.74,0.57,28.05322434756846,13.476666666666667,6,0.0038501766666666666,0.2550910355146615
2.96,1.13,0.71,1.24,1.38,0.4,27.997301277908424,13.161666666666667,6,0.0029548233333333332,0.22790726255227634
1.46,2.38,1.82,2.58,2.87,0.58,27.743034970969706,13.398333333333333,6,0.002188963333333333,0.24976518645003568
1.39,1.93,1.17,1.74,2.05,0.43,27.719752440956555,13.421666666666667,6,0.0036813583333333336,0.18999466532871248
1.36,1.94,1.26,1.98,2.31,0.47,27.71740628096337,13.433333333333332,6,0.002639045,0.22462569833830526
0.65,1.79,1.21,2.41,2.8,0.56,27.637420237327543,13.68,6,0.002512228333333333,0.2572571596557744
1.36,2.33,1.57,2.44,2.71,0.55,27.609935174590717,13.633333333333333,6,0.002027885,0.2646742095889913
1.97,2.15,1.41,2.2,2.48,0.53,27.534992381554574,13.298333333333334,6,0.0020236816666666666,0.2319862499421023
0.72,1.77,1.17,2.2,2.48,0.5,27.493155134751976,13.718333333333334,6,0.0023223933333333334,0.2901290131873595
0.89,2.55,1.73,2.64,2.88,0.59,27.36178510301161,13.616666666666667,6,0.0019123566666666668,0.2654604030992939
0.82,2.41,1.66,2.55,2.78,0.56,27.11400715297871,13.768333333333333,6,0.004626676666666667,0.21472272934595807
1.92,2.06,1.4,2.29,2.63,0.5,27.112064860408072,13.723333333333334,6,0.0021907883333333335,0.25315945435683834
1.32,2.18,1.52,2.28,2.61,0.54,26.890117119773823,13.798333333333332,6,0.0022083466666666667,0.26166623200535594
1.53,2.55,1.88,2.73,3.05,0.6,26.779587771918546,13.708333333333334,6,0.0023181816666666666,0.25519089296289854
